MaxOnes 100 12 0.01 0.50
216 100.000000 92.004174 98.67% Identical
217 100.000000 89.351811 98.67% Identical
218 100.000000 92.023484 98.67% Identical
219 100.000000 87.988079 98.67% Identical
220 100.000000 90.668887 98.67% Identical
221 100.000000 94.666340 98.67% Identical
222 100.000000 92.006629 98.67% Identical
223 100.000000 90.665206 98.67% Identical
224 100.000000 94.661446 98.67% Identical
225 100.000000 94.664421 98.67% Identical
226 100.000000 96.006744 98.67% Identical
227 100.000000 88.014841 98.67% Identical
228 100.000000 91.994927 98.67% Identical
229 100.000000 90.655531 98.67% Identical
230 100.000000 86.675173 98.67% Identical
231 100.000000 92.005183 98.67% Identical
232 100.000000 90.665264 98.67% Identical
233 100.000000 94.670424 98.67% Identical
234 100.000000 93.334901 98.67% Identical
235 100.000000 96.009503 98.67% Identical
236 100.000000 90.657748 98.67% Identical
237 100.000000 93.345817 98.67% Identical
238 100.000000 90.684172 98.67% Identical
239 100.000000 93.315613 98.67% Identical
240 100.000000 88.017733 98.67% Identical
241 100.000000 90.654745 98.67% Identical
242 100.000000 93.321016 98.67% Identical
243 100.000000 88.014548 98.67% Identical
244 100.000000 93.334585 98.67% Identical
245 100.000000 94.659242 98.67% Identical
246 100.000000 89.338041 98.67% Identical
247 100.000000 92.016558 98.67% Identical
248 100.000000 96.007680 98.67% Identical
249 100.000000 98.673390 98.67% Identical
250 100.000000 92.002529 98.67% Identical
251 100.000000 88.008271 98.67% Identical
252 100.000000 92.006371 98.67% Identical
253 100.000000 99.998111 98.67% Identical
254 100.000000 94.677765 98.67% Identical
255 100.000000 93.337429 98.67% Identical
256 100.000000 95.990357 98.67% Identical
257 100.000000 91.991701 98.67% Identical
258 100.000000 92.008284 98.67% Identical
259 100.000000 87.996710 98.67% Identical
260 100.000000 96.001562 98.67% Identical
261 100.000000 94.653542 98.67% Identical
262 100.000000 96.010462 98.67% Identical
263 100.000000 82.664678 98.67% Identical
264 100.000000 79.995974 98.67% Identical
265 100.000000 89.340424 98.67% Identical
266 100.000000 92.006618 98.67% Identical
267 100.000000 94.671372 98.67% Identical
268 100.000000 92.000299 98.67% Identical
269 100.000000 93.338451 98.67% Identical
270 100.000000 87.980917 98.67% Identical
271 100.000000 93.340213 98.67% Identical
272 100.000000 93.351956 98.67% Identical
273 100.000000 97.326963 98.67% Identical
274 100.000000 88.005698 98.67% Identical
275 100.000000 91.993605 98.67% Identical
276 100.000000 92.004669 98.67% Identical
277 100.000000 82.667202 98.67% Identical
278 100.000000 90.662090 98.67% Identical
279 100.000000 89.337788 98.67% Identical
280 100.000000 85.318375 98.67% Identical
281 100.000000 97.326647 98.67% Identical
282 100.000000 91.999607 98.67% Identical
283 100.000000 96.022068 98.67% Identical
284 100.000000 88.009511 98.67% Identical
285 100.000000 94.667848 98.67% Identical
286 100.000000 93.327490 98.67% Identical
287 100.000000 97.333363 98.67% Identical
288 100.000000 98.662506 98.67% Identical
289 100.000000 93.339554 98.67% Identical
290 100.000000 93.341515 98.67% Identical
291 100.000000 95.999327 98.67% Identical
292 100.000000 91.996214 98.67% Identical
293 100.000000 92.015952 98.67% Identical
294 100.000000 89.323654 98.67% Identical
295 100.000000 93.334883 98.67% Identical
296 100.000000 94.682471 98.67% Identical
297 100.000000 91.999564 98.67% Identical
298 100.000000 93.309648 98.67% Identical
299 100.000000 94.670365 98.67% Identical
300 100.000000 86.692041 98.67% Identical
301 100.000000 90.677718 98.67% Identical
302 100.000000 96.000152 98.67% Identical
303 100.000000 91.999033 98.67% Identical
304 100.000000 90.682281 98.67% Identical
305 100.000000 89.361525 98.67% Identical
306 100.000000 89.345863 98.67% Identical
307 100.000000 92.009228 98.67% Identical
308 100.000000 97.330391 98.67% Identical
309 100.000000 95.982446 98.67% Identical
310 100.000000 95.992561 98.67% Identical
311 100.000000 93.334594 98.67% Identical
312 100.000000 92.016810 98.67% Identical
313 100.000000 93.341220 98.67% Identical
314 100.000000 89.345407 98.67% Identical
315 100.000000 92.002458 98.67% Identical
316 100.000000 94.655826 98.67% Identical
317 100.000000 94.676132 98.67% Identical
318 100.000000 95.995852 98.67% Identical
319 100.000000 90.683294 98.67% Identical
320 100.000000 95.998839 98.67% Identical
321 100.000000 90.650403 98.67% Identical
322 100.000000 94.654879 98.67% Identical
323 100.000000 98.670797 98.67% Identical
324 100.000000 90.660279 98.67% Identical
325 100.000000 93.341583 98.67% Identical
326 100.000000 94.677981 98.67% Identical
327 100.000000 90.646855 98.67% Identical
328 100.000000 90.689623 98.67% Identical
329 100.000000 93.337884 98.67% Identical
330 100.000000 93.336095 98.67% Identical
331 100.000000 96.008256 98.67% Identical
332 100.000000 93.341996 98.67% Identical
333 100.000000 94.661207 98.67% Identical
334 100.000000 97.335642 98.67% Identical
335 100.000000 89.342633 98.67% Identical
336 100.000000 93.355500 98.67% Identical
337 100.000000 89.333845 98.67% Identical
338 100.000000 92.007305 98.67% Identical
339 100.000000 89.343469 98.67% Identical
340 100.000000 97.327668 98.67% Identical
341 100.000000 92.004800 98.67% Identical
342 100.000000 96.003450 98.67% Identical
343 100.000000 91.994169 98.67% Identical
344 100.000000 93.319206 98.67% Identical
345 100.000000 91.997076 98.67% Identical
346 100.000000 90.672871 98.67% Identical
347 100.000000 92.012772 98.67% Identical
348 100.000000 94.664107 98.67% Identical
349 100.000000 91.999783 98.67% Identical
350 100.000000 88.011740 98.67% Identical
351 100.000000 93.330980 98.67% Identical
352 100.000000 87.993602 98.67% Identical
353 100.000000 89.343825 98.67% Identical
354 100.000000 98.669782 98.67% Identical
355 100.000000 94.672705 98.67% Identical
356 100.000000 96.006672 98.67% Identical
357 100.000000 93.349753 98.67% Identical
358 100.000000 92.019414 98.67% Identical
359 100.000000 85.358667 98.67% Identical
360 100.000000 84.025145 98.67% Identical
361 100.000000 93.335525 98.67% Identical
362 100.000000 94.671701 98.67% Identical
363 100.000000 90.649957 98.67% Identical
364 100.000000 90.671081 98.67% Identical
365 100.000000 92.015045 98.67% Identical
366 100.000000 92.004160 98.67% Identical
367 100.000000 95.999276 98.67% Identical
368 100.000000 93.348403 98.67% Identical
369 100.000000 98.662192 98.67% Identical
370 100.000000 92.015427 98.67% Identical
371 100.000000 97.322158 98.67% Identical
372 100.000000 93.331230 98.67% Identical
373 100.000000 93.330633 98.67% Identical
374 100.000000 91.984681 98.67% Identical
375 100.000000 89.324871 98.67% Identical
376 100.000000 96.001858 98.67% Identical
377 100.000000 94.670831 98.67% Identical
378 100.000000 89.329783 98.67% Identical
379 100.000000 91.997408 98.67% Identical
380 100.000000 89.334315 98.67% Identical
381 100.000000 89.341611 98.67% Identical
382 100.000000 87.997478 98.67% Identical
383 100.000000 94.668720 98.67% Identical
384 100.000000 92.019018 98.67% Identical
385 100.000000 88.018683 98.67% Identical
386 100.000000 89.331064 98.67% Identical
387 100.000000 92.006877 98.67% Identical
388 100.000000 98.666997 98.67% Identical
389 100.000000 89.339531 98.67% Identical
390 100.000000 89.322872 98.67% Identical
391 100.000000 93.329519 98.67% Identical
392 100.000000 93.341597 98.67% Identical
393 100.000000 93.318538 98.67% Identical
394 100.000000 93.319906 98.67% Identical
395 100.000000 94.667186 98.67% Identical
396 100.000000 88.008493 98.67% Identical
397 100.000000 90.664059 98.67% Identical
398 100.000000 93.337728 98.67% Identical
399 100.000000 87.974460 98.67% Identical
400 100.000000 89.338288 98.67% Identical
401 100.000000 93.333630 98.67% Identical
402 100.000000 89.336499 98.67% Identical
403 100.000000 86.672566 98.67% Identical
404 100.000000 93.347308 98.67% Identical
405 100.000000 91.993465 98.67% Identical
406 100.000000 90.669832 98.67% Identical
407 100.000000 95.999649 98.67% Identical
408 100.000000 90.668381 98.67% Identical
409 100.000000 94.673028 98.67% Identical
410 100.000000 97.333684 98.67% Identical
411 100.000000 95.982445 98.67% Identical
412 100.000000 89.340676 98.67% Identical
413 100.000000 86.692086 98.67% Identical
414 100.000000 93.333468 98.67% Identical
415 100.000000 85.346841 98.67% Identical
416 100.000000 89.360555 98.67% Identical
417 100.000000 90.677090 98.67% Identical
418 100.000000 89.344659 98.67% Identical
419 100.000000 86.689171 98.67% Identical
420 100.000000 90.677170 98.67% Identical
421 100.000000 93.327819 98.67% Identical
422 100.000000 94.663417 98.67% Identical
423 100.000000 94.672954 98.67% Identical
424 100.000000 93.326228 98.67% Identical
425 100.000000 86.671683 98.67% Identical
426 100.000000 90.640156 98.67% Identical
427 100.000000 88.000057 98.67% Identical
428 100.000000 92.017710 98.67% Identical
429 100.000000 94.663240 98.67% Identical
430 100.000000 93.336409 98.67% Identical
431 100.000000 91.982155 98.67% Identical
432 100.000000 90.666661 98.67% Identical
433 100.000000 98.665989 98.67% Identical
434 100.000000 94.678082 98.67% Identical
435 100.000000 94.658605 98.67% Identical
436 100.000000 94.660387 98.67% Identical
437 100.000000 90.677961 98.67% Identical
438 100.000000 89.335306 98.67% Identical
439 100.000000 98.664396 98.67% Identical
440 100.000000 93.338702 98.67% Identical
441 100.000000 89.330043 98.67% Identical
442 100.000000 90.688485 98.67% Identical
443 100.000000 89.346682 98.67% Identical
444 100.000000 87.985966 98.67% Identical
445 100.000000 90.687202 98.67% Identical
446 100.000000 98.662189 98.67% Identical
447 100.000000 90.645065 98.67% Identical
448 100.000000 90.693025 98.67% Identical
449 100.000000 96.021335 98.67% Identical
450 100.000000 88.027762 98.67% Identical
451 100.000000 94.653296 98.67% Identical
452 100.000000 90.670388 98.67% Identical
453 100.000000 90.666026 98.67% Identical
454 100.000000 90.643640 98.67% Identical
455 100.000000 90.636683 98.67% Identical
456 100.000000 93.347320 98.67% Identical
457 100.000000 85.367038 98.67% Identical
458 100.000000 90.664961 98.67% Identical
459 100.000000 93.321174 98.67% Identical
460 100.000000 90.678445 98.67% Identical
461 100.000000 95.998955 98.67% Identical
462 100.000000 89.346808 98.67% Identical
463 100.000000 92.005547 98.67% Identical
464 100.000000 93.341846 98.67% Identical
465 100.000000 91.999359 98.67% Identical
466 100.000000 93.319010 98.67% Identical
467 100.000000 94.664435 98.67% Identical
468 100.000000 89.328753 98.67% Identical
469 100.000000 90.649951 98.67% Identical
470 100.000000 86.651055 98.67% Identical
471 100.000000 92.010727 98.67% Identical
472 100.000000 89.329623 98.67% Identical
473 100.000000 91.997327 98.67% Identical
474 100.000000 92.003797 98.67% Identical
475 100.000000 91.994184 98.67% Identical
476 100.000000 97.336337 98.67% Identical
477 100.000000 91.978286 98.67% Identical
478 100.000000 94.666312 98.67% Identical
479 100.000000 89.366727 98.67% Identical
480 100.000000 94.675808 98.67% Identical
481 100.000000 95.990357 98.67% Identical
482 100.000000 89.321127 98.67% Identical
483 100.000000 88.018882 98.67% Identical
484 100.000000 96.009272 98.67% Identical
485 100.000000 100.001905 98.67% Identical
486 100.000000 82.682170 98.67% Identical
487 100.000000 93.325217 98.67% Identical
488 100.000000 88.001034 98.67% Identical
489 100.000000 90.672724 98.67% Identical
490 100.000000 89.351839 98.67% Identical
491 100.000000 96.007553 98.67% Identical
492 100.000000 96.010527 98.67% Identical
493 100.000000 93.346578 98.67% Identical
494 100.000000 90.674750 98.67% Identical
495 100.000000 96.000880 98.67% Identical
496 100.000000 82.454568 98.67% Identical
497 100.000000 85.343301 98.67% Identical
498 100.000000 80.012625 98.67% Identical
499 100.000000 97.331077 98.67% Identical
500 100.000000 90.678688 98.67% Identical
501 100.000000 91.994378 98.67% Identical
502 100.000000 85.327993 98.67% Identical
503 100.000000 90.664957 98.67% Identical
504 100.000000 85.333557 98.67% Identical
505 100.000000 90.662995 98.67% Identical
506 100.000000 88.014431 98.67% Identical
507 100.000000 92.003160 98.67% Identical
508 100.000000 89.334364 98.67% Identical
509 100.000000 90.646559 98.67% Identical
510 100.000000 89.343076 98.67% Identical
511 100.000000 94.681623 98.67% Identical
512 100.000000 94.667524 98.67% Identical
513 100.000000 93.330410 98.67% Identical
514 100.000000 93.323944 98.67% Identical
515 100.000000 82.632650 98.67% Identical
516 100.000000 96.001414 98.67% Identical
517 100.000000 97.335565 98.67% Identical
518 100.000000 89.340676 98.67% Identical
519 100.000000 90.660348 98.67% Identical
520 100.000000 88.003998 98.67% Identical
521 100.000000 88.003189 98.67% Identical
522 100.000000 97.342215 98.67% Identical
523 100.000000 90.660265 98.67% Identical
524 100.000000 90.670477 98.67% Identical
525 100.000000 97.322480 98.67% Identical
526 100.000000 92.019940 98.67% Identical
527 100.000000 90.694647 98.67% Identical
528 100.000000 90.659622 98.67% Identical
529 100.000000 91.995487 98.67% Identical
530 100.000000 91.992021 98.67% Identical
531 100.000000 95.995535 98.67% Identical
532 100.000000 91.999560 98.67% Identical
533 100.000000 94.664103 98.67% Identical
534 100.000000 96.012364 98.67% Identical
535 100.000000 90.685949 98.67% Identical
536 100.000000 89.328352 98.67% Identical
537 100.000000 97.338989 98.67% Identical
538 100.000000 88.005461 98.67% Identical
539 100.000000 94.673031 98.67% Identical
540 100.000000 90.674894 98.67% Identical
541 100.000000 92.002204 98.67% Identical
542 100.000000 95.994783 98.67% Identical
543 100.000000 90.658561 98.67% Identical
544 100.000000 84.008443 98.67% Identical
545 100.000000 93.348845 98.67% Identical
546 100.000000 88.007106 98.67% Identical
547 100.000000 87.986788 98.67% Identical
548 100.000000 92.013274 98.67% Identical
549 100.000000 91.995493 98.67% Identical
550 100.000000 97.340692 98.67% Identical
551 100.000000 88.005961 98.67% Identical
552 100.000000 96.013379 98.67% Identical
553 100.000000 90.696944 98.67% Identical
554 100.000000 87.999551 98.67% Identical
555 100.000000 98.664717 98.67% Identical
556 100.000000 94.672707 98.67% Identical
557 100.000000 89.341753 98.67% Identical
558 100.000000 90.672858 98.67% Identical
559 100.000000 93.333632 98.67% Identical
560 100.000000 89.321451 98.67% Identical
561 100.000000 88.007217 98.67% Identical
562 100.000000 92.006016 98.67% Identical
563 100.000000 90.656165 98.67% Identical
564 100.000000 85.340425 98.67% Identical
565 100.000000 90.667740 98.67% Identical
566 100.000000 89.335385 98.67% Identical
567 100.000000 95.990678 98.67% Identical
568 100.000000 90.672431 98.67% Identical
569 100.000000 92.007590 98.67% Identical
570 100.000000 90.677095 98.67% Identical
571 100.000000 95.993651 98.67% Identical
572 100.000000 93.339703 98.67% Identical
573 100.000000 90.658117 98.67% Identical
574 100.000000 92.001577 98.67% Identical
575 100.000000 91.776119 98.67% Identical
576 100.000000 89.325935 98.67% Identical
577 100.000000 87.995601 98.67% Identical
578 100.000000 89.348919 98.67% Identical
579 100.000000 94.669559 98.67% Identical
580 100.000000 90.672052 98.67% Identical
581 100.000000 92.010230 98.67% Identical
582 100.000000 85.296038 98.67% Identical
583 100.000000 89.328212 98.67% Identical
584 100.000000 92.005726 98.67% Identical
585 100.000000 92.001723 98.67% Identical
586 100.000000 82.665515 98.67% Identical
587 100.000000 89.327281 98.67% Identical
588 100.000000 89.347164 98.67% Identical
589 100.000000 89.335075 98.67% Identical
590 100.000000 88.011094 98.67% Identical
591 100.000000 91.998414 98.67% Identical
592 100.000000 91.976079 98.67% Identical
593 100.000000 89.355035 98.67% Identical
594 100.000000 93.343882 98.67% Identical
595 100.000000 92.011746 98.67% Identical
596 100.000000 86.682639 98.67% Identical
597 100.000000 90.660491 98.67% Identical
598 100.000000 90.654639 98.67% Identical
599 100.000000 98.673076 98.67% Identical
600 100.000000 94.676132 98.67% Identical
601 100.000000 89.344907 98.67% Identical
602 100.000000 87.978806 98.67% Identical
603 100.000000 92.011716 98.67% Identical
604 100.000000 90.670519 98.67% Identical
605 100.000000 90.687635 98.67% Identical
606 100.000000 94.662528 98.67% Identical
607 100.000000 93.321165 98.67% Identical
608 100.000000 93.348939 98.67% Identical
609 100.000000 92.019743 98.67% Identical
610 100.000000 85.347025 98.67% Identical
611 100.000000 90.683377 98.67% Identical
612 100.000000 93.341913 98.67% Identical
613 100.000000 89.330804 98.67% Identical
614 100.000000 92.014015 98.67% Identical
615 100.000000 90.673190 98.67% Identical
616 100.000000 92.007187 98.67% Identical
617 100.000000 90.668251 98.67% Identical
618 100.000000 97.340951 98.67% Identical
619 100.000000 90.670772 98.67% Identical
620 100.000000 95.991811 98.67% Identical
621 100.000000 94.669790 98.67% Identical
622 100.000000 89.317338 98.67% Identical
623 100.000000 86.694390 98.67% Identical
624 100.000000 93.334711 98.67% Identical
625 100.000000 93.348499 98.67% Identical
626 100.000000 96.001562 98.67% Identical
627 100.000000 93.333247 98.67% Identical
628 100.000000 92.009795 98.67% Identical
629 100.000000 97.330440 98.67% Identical
630 100.000000 90.671228 98.67% Identical
631 100.000000 90.665644 98.67% Identical
632 100.000000 94.671129 98.67% Identical
633 100.000000 90.660976 98.67% Identical
634 100.000000 93.338111 98.67% Identical
635 100.000000 90.647888 98.67% Identical
636 100.000000 90.676781 98.67% Identical
637 100.000000 94.669551 98.67% Identical
638 100.000000 90.660340 98.67% Identical
639 100.000000 90.682924 98.67% Identical
640 100.000000 96.004144 98.67% Identical
641 100.000000 95.993323 98.67% Identical
642 100.000000 85.318531 98.67% Identical
643 100.000000 90.670955 98.67% Identical
644 100.000000 94.671942 98.67% Identical
645 100.000000 94.666889 98.67% Identical
646 100.000000 93.349957 98.67% Identical
647 100.000000 88.015835 98.67% Identical
648 100.000000 86.652257 98.67% Identical
649 100.000000 93.334826 98.67% Identical
650 100.000000 96.007060 98.67% Identical
651 100.000000 92.001508 98.67% Identical
652 100.000000 89.336827 98.67% Identical
653 100.000000 92.008602 98.67% Identical
654 100.000000 89.335564 98.67% Identical
655 100.000000 89.325916 98.67% Identical
656 100.000000 91.989985 98.67% Identical
657 100.000000 93.356150 98.67% Identical
658 100.000000 85.350253 98.67% Identical
659 100.000000 89.337509 98.67% Identical
660 100.000000 92.006841 98.67% Identical
661 100.000000 89.334290 98.67% Identical
662 100.000000 93.347601 98.67% Identical
663 100.000000 89.328248 98.67% Identical
664 100.000000 96.004457 98.67% Identical
665 100.000000 92.006878 98.67% Identical
666 100.000000 94.677989 98.67% Identical
667 100.000000 90.680027 98.67% Identical
668 100.000000 91.993599 98.67% Identical
669 100.000000 89.347269 98.67% Identical
670 100.000000 90.661680 98.67% Identical
671 100.000000 90.663930 98.67% Identical
672 100.000000 84.008574 98.67% Identical
673 100.000000 89.334474 98.67% Identical
674 100.000000 96.010458 98.67% Identical
675 100.000000 92.003081 98.67% Identical
676 100.000000 92.009549 98.67% Identical
677 100.000000 87.990273 98.67% Identical
678 100.000000 93.345451 98.67% Identical
679 100.000000 86.696299 98.67% Identical
680 100.000000 98.672307 98.67% Identical
681 100.000000 97.335888 98.67% Identical
682 100.000000 94.664435 98.67% Identical
683 100.000000 92.008659 98.67% Identical
684 100.000000 91.991010 98.67% Identical
685 100.000000 90.660146 98.67% Identical
686 100.000000 93.339265 98.67% Identical
687 100.000000 89.351126 98.67% Identical
688 100.000000 93.311294 98.67% Identical
689 100.000000 94.667213 98.67% Identical
690 100.000000 88.010775 98.67% Identical
691 100.000000 86.674159 98.67% Identical
692 100.000000 90.686346 98.67% Identical
693 100.000000 90.670141 98.67% Identical
694 100.000000 93.341921 98.67% Identical
695 100.000000 91.996233 98.67% Identical
696 100.000000 89.338736 98.67% Identical
697 100.000000 86.689137 98.67% Identical
